Reported trait,id,PubMed ID,M_or,M_m,M_ldpred,k,h2_est,p_est
Relative sugar intake,phen1,32393786,11417548,1115102,1039923,30,0.041077629771245294,0.0071374455229370574
Relative protein intake,phen2,32393786,11417548,1115102,1039911,30,0.025394678812958628,0.004212124214376959
Relative carbohydrate intake,phen3,32393786,11417548,1115102,1039907,30,0.04010703465067783,0.007920873518357196
General-risk-tolerance,phen4,30643258,11514381,1115155,1041767,30,0.051299390001258244,0.014367555522217332
Automobile speeding propensity,phen5,30643258,11514463,1115158,1039843,30,0.06393692239210619,0.015401129720855496
Drinks per week,phen6,30643258,11514936,1115154,1039827,30,0.06916721306672272,0.013579545935696949
"Meta-analysis of ever smoker, which includes the UKB and the TAG Consortium GWAS",phen7,30643258,11514654,1115159,1036617,30,0.0918317584727234,0.020200464516433626
Number of sexual partners,phen8,30643258,11515109,1115156,1039827,30,0.0978205123306323,0.0176650224010736
First PC of the four risky behaviors,phen9,30643258,11514862,1115155,1039844,30,0.11255575028055553,0.01692686517802751
OCD,phen10,28761083,7939284,1110009,1040286,19,0.3580666696725099,0.0033945158429577633
Cognitive performance (CP),phen11,30038396,10098325,1108843,1033915,30,0.1947159527324548,0.01894575597527206
Body mass index,phen15,30124842,27380252,1118364,1039077,30,0.22908859020235792,0.0352202454117853
Waist-hip ratio,phen16,30124842,27375541,1118365,1041715,30,0.1594700806223953,0.02621371905649518
Body mass index,phen17,30124842,2336269,956579,900630,30,0.21755954207220607,0.03412044291588691
Height,phen18,30124843,2334001,955552,899654,30,0.6291058226982285,0.03368496165299556
AD,phen19,30617256,13309438,1118197,1036720,30,0.031793618672826984,4.8028166108354245e-4
Childhood IQ,phen20,23358156,1380158,760999,720130,25,0.2248991059796355,0.005170617091334932
Insomnia,phen22,30804565,10862567,1075372,1009880,30,0.047548312432248815,0.013260530474880464
Morningness,phen23,30804565,10862567,1075372,1003997,30,0.12166165593932701,0.01876722079661468
Sleep duration,phen24,30804565,10862567,1075372,1003997,30,0.06948121674043801,0.015431522402672634
Ease of getting up,phen25,30804565,10862567,1075372,1004002,30,0.07691210846769514,0.016781444512049055
Daytime napping,phen26,30804565,10858884,1075372,1003921,30,0.021351467803949396,0.007265874600498117
Daytime dozing,phen27,30804565,10820721,1075372,1003888,29,0.012488139465541826,0.0057735974762458345
Snoring,phen28,30804565,10862567,1075372,1007994,30,0.062054056518815764,0.014367530492270082
IQ,phen29,29942086,9295118,1109972,1033242,30,0.21346000587096636,0.025007101943370975
Neuroticism,phen30,27089182,6524432,1061974,856277,30,0.05816281638478851,0.007937753624372872
Depressed affect subcluster,phen33,29942085,10847150,1075372,1003990,30,0.09366726357106409,0.01910779855592215
Worry subcluster,phen34,29942085,10847150,1075372,1003988,30,0.09137302404119423,0.01813140495954526
AUDIT-total,phen37,30336701,8017302,1099767,1025236,30,0.08873334506266889,0.008617932831486439
AUDIT-C,phen38,30336701,8017302,1099767,1025238,30,0.07828866207774551,0.0080099614989024015
AUDIT-P,phen39,30336701,8017302,1099767,1025236,30,0.058592181519172455,0.006486347022605249
Lifetime cannabis use,phen40,30150663,11535592,1113113,1040308,30,0.08837916358664238,0.010367799348141016
"Cigs per day, continuous",phen41,20418890,2459118,1007351,930501,24,0.028309984641932632,0.0011516529127797842
"Log age-onset smoking, continuous",phen42,20418890,2457545,1007160,938400,9,0.01457114406266493,0.003423499188524422
"Ever vs never smoked, discrete",phen43,20418890,2455846,1007302,929133,29,0.07476219732128735,0.008544055024193906
Asthma,phen45,29785011,6960182,1009769,931540,30,0.19079952714720733,0.0035420511857737246
"Allergy (hay fever, allergic rhinitis or eczema)",phen46,29785011,6940189,1006138,924820,30,0.12930433731956695,0.0042785632685822545
EAGLE eczema consortium,phen48,26482879,11296420,1115629,1042871,26,0.10712651961783204,0.0014992444038598807
Asthma (adult-onset),phen49,30929738,1833917,239933,224363,30,0.02997029686918409,0.015464979616300105
Childhood-onset asthma,phen50,30929739,9020834,1108957,1037129,30,0.06257746360538602,0.0027871263116803335
"Asthma, hay fever (or allergic rhinitis) and eczema (or atopic dermatitis)",phen51,29083406,2156842,301346,282622,30,0.018773066378217337,0.003606397434260392
Preschool internalizing problems (INT),phen53,24839885,2451671,1002033,937402,4,0.2194442981842139,7.953297564244149e-4
Recurrent depression,phen54,31926635,5389701,1009035,698360,30,0.11173443856816997,0.008693595859383786
ADHD,phen55,30478444,7956203,1045679,987777,16,0.1860634717924696,0.0036214359276077117
ASD,phen56,30804558,9459732,1113228,1040308,27,0.23594988689761304,0.0038734986351426828
AN,phen57,31308545,8520663,1074812,1013572,30,0.26010820947567886,0.008444236467880829
SCZ PGC3,phen58,preprint,14437150,1118443,1036178,30,0.45549770995519867,0.0380735231279233
