GWAS_trait,id,GWAS_pubmedID,source,M_or,M_m,M_ldpred,k,h2_est,p_est
Relative sugar intake,phen1,32393786,Other public resources,11417548,1115102,1039923,30,4.11e-02,7.14e-03
Relative protein intake,phen2,32393786,Other public resources,11417548,1115102,1039911,30,2.54e-02,4.21e-03
Relative carbohydrate intake,phen3,32393786,Other public resources,11417548,1115102,1039907,30,4.01e-02,7.92e-03
General-risk-tolerance,phen4,30643258,Other public resources,11514381,1115155,1041767,30,5.13e-02,1.44e-02
Automobile speeding propensity,phen5,30643258,Other public resources,11514463,1115158,1039843,30,6.39e-02,1.54e-02
Drinks per week,phen6,30643258,Other public resources,11514936,1115154,1039827,30,6.92e-02,1.36e-02
"Meta-analysis of ever smoker, which includes the UKB and the TAG Consortium GWAS",phen7,30643258,Other public resources,11514654,1115159,1036617,30,9.18e-02,2.02e-02
Number of sexual partners,phen8,30643258,Other public resources,11515109,1115156,1039827,30,9.78e-02,1.77e-02
First PC of the four risky behaviors,phen9,30643258,Other public resources,11514862,1115155,1039844,30,1.13e-01,1.69e-02
OCD,phen10,28761083,Other public resources,7939284,1110009,1040286,19,3.58e-01,3.39e-03
Cognitive performance (CP),phen11,30038396,Other public resources,10098325,1108843,1033915,30,1.95e-01,1.89e-02
Body mass index,phen15,30124842,Other public resources,27380252,1118364,1039077,30,2.29e-01,3.52e-02
Waist-hip ratio,phen16,30124842,Other public resources,27375541,1118365,1041715,30,1.59e-01,2.62e-02
Body mass index,phen17,30124842,Other public resources,2336269,956579,900630,30,2.18e-01,3.41e-02
Height,phen18,30124843,Other public resources,2334001,955552,899654,30,6.29e-01,3.37e-02
AD,phen19,30617256,Other public resources,13309438,1118197,1036720,30,3.18e-02,4.80e-04
Childhood IQ,phen20,23358156,Other public resources,1380158,760999,720130,25,2.25e-01,5.17e-03
Insomnia,phen22,30804565,Other public resources,10862567,1075372,1009880,30,4.75e-02,1.33e-02
Morningness,phen23,30804565,Other public resources,10862567,1075372,1003997,30,1.22e-01,1.88e-02
Sleep duration,phen24,30804565,Other public resources,10862567,1075372,1003997,30,6.95e-02,1.54e-02
Ease of getting up,phen25,30804565,Other public resources,10862567,1075372,1004002,30,7.69e-02,1.68e-02
Daytime napping,phen26,30804565,Other public resources,10858884,1075372,1003921,30,2.14e-02,7.27e-03
Daytime dozing,phen27,30804565,Other public resources,10820721,1075372,1003888,29,1.25e-02,5.77e-03
Snoring,phen28,30804565,Other public resources,10862567,1075372,1007994,30,6.21e-02,1.44e-02
IQ,phen29,29942086,Other public resources,9295118,1109972,1033242,30,2.13e-01,2.50e-02
Neuroticism,phen30,27089182,Other public resources,6524432,1061974,856277,30,5.82e-02,7.94e-03
Depressed affect subcluster,phen33,29942085,Other public resources,10847150,1075372,1003990,30,9.37e-02,1.91e-02
Worry subcluster,phen34,29942085,Other public resources,10847150,1075372,1003988,30,9.14e-02,1.81e-02
AUDIT-total,phen37,30336701,Other public resources,8017302,1099767,1025236,30,8.87e-02,8.62e-03
AUDIT-C,phen38,30336701,Other public resources,8017302,1099767,1025238,30,7.83e-02,8.01e-03
AUDIT-P,phen39,30336701,Other public resources,8017302,1099767,1025236,30,5.86e-02,6.49e-03
Lifetime cannabis use,phen40,30150663,Other public resources,11535592,1113113,1040308,30,8.84e-02,1.04e-02
"Cigs per day, continuous",phen41,20418890,Other public resources,2459118,1007351,930501,24,2.83e-02,1.15e-03
"Log age-onset smoking, continuous",phen42,20418890,Other public resources,2457545,1007160,938400,9,1.46e-02,3.42e-03
"Ever vs never smoked, discrete",phen43,20418890,Other public resources,2455846,1007302,929133,29,7.48e-02,8.54e-03
Asthma,phen45,29785011,Other public resources,6960182,1009769,931540,30,1.91e-01,3.54e-03
"Allergy (hay fever, allergic rhinitis or eczema)",phen46,29785011,Other public resources,6940189,1006138,924820,30,1.29e-01,4.28e-03
EAGLE eczema consortium,phen48,26482879,Other public resources,11296420,1115629,1042871,26,1.07e-01,1.50e-03
Asthma (adult-onset),phen49,30929738,Other public resources,1833917,239933,224363,30,3.00e-02,1.55e-02
Childhood-onset asthma,phen50,30929739,Other public resources,9020834,1108957,1037129,30,6.26e-02,2.79e-03
"Asthma, hay fever (or allergic rhinitis) and eczema (or atopic dermatitis)",phen51,29083406,Other public resources,2156842,301346,282622,30,1.88e-02,3.61e-03
Preschool internalizing problems (INT),phen53,24839885,Other public resources,2451671,1002033,937402,4,2.19e-01,7.95e-04
Recurrent depression,phen54,31926635,Other public resources,5389701,1009035,698360,30,1.12e-01,8.69e-03
ADHD,phen55,30478444,PGC without iPSYCH samples,7956203,1045679,987777,16,1.86e-01,3.62e-03
ASD,phen56,30804558,PGC without iPSYCH samples,9459732,1113228,1040308,27,2.36e-01,3.87e-03
AN,phen57,31308545,PGC without iPSYCH samples,8520663,1074812,1013572,30,2.60e-01,8.44e-03
SCZ PGC3,phen58,SCZ PUBMID,PGC without iPSYCH samples,14437150,1118443,1036178,30,4.55e-01,3.81e-02
BD PGC3,phen59,BD PUBMID,PGC without iPSYCH samples,7606701,1110731,1047642,30,2.12e-01,1.66e-02
MDD Howard,phen60,30718901,PGC without iPSYCH samples,6282030,1027027,969061,30,6.23e-02,2.13e-02
MDD PGC2,phen61,29700475,PGC without iPSYCH samples,13544713,1117553,1045462,30,7.47e-02,1.67e-02
