tag,p,cv,prev_pop,prev_GWAS,n_cases_train,n_control_train,n_cases_test,n_control_test,comp,GWAS_trait,GWAS_pubmedID,id,n_cases_GWAS,n_control_GWAS
ADHD,F9201,1,0.05,0.36,17084,29870,4358,7503,PGC-ADHD,ADHD,30478444,phen55,4225,11012
ADHD,F9201,2,0.05,0.36,17101,29956,4341,7417,PGC-ADHD,ADHD,30478444,phen55,4225,11012
ADHD,F9201,3,0.05,0.37,17253,29938,4189,7435,PGC-ADHD,ADHD,30478444,phen55,4225,11012
ADHD,F9201,4,0.05,0.36,17117,30005,4325,7368,PGC-ADHD,ADHD,30478444,phen55,4225,11012
ADHD,F9201,5,0.05,0.37,17213,29723,4229,7650,PGC-ADHD,ADHD,30478444,phen55,4225,11012
AFF,F3000,1,0.08,0.45,24099,29478,6084,7573,MDD-Wray2018,MDD PGC2,29700475,phen61,111902,312113
AFF,F3000,2,0.08,0.45,24263,29730,5920,7321,MDD-Wray2018,MDD PGC2,29700475,phen61,111902,312113
AFF,F3000,3,0.08,0.45,24040,29609,6143,7442,MDD-Wray2018,MDD PGC2,29700475,phen61,111902,312113
AFF,F3000,4,0.08,0.45,24108,29690,6075,7361,MDD-Wray2018,MDD PGC2,29700475,phen61,111902,312113
AFF,F3000,5,0.08,0.45,24222,29697,5961,7354,MDD-Wray2018,MDD PGC2,29700475,phen61,111902,312113
AN,F5100,1,0.01,0.17,6206,30258,1547,7472,PGC-AN,AN,31308545,phen57,11940,33731
AN,F5100,2,0.01,0.17,6215,30187,1538,7543,PGC-AN,AN,31308545,phen57,11940,33731
AN,F5100,3,0.01,0.17,6230,30166,1523,7564,PGC-AN,AN,31308545,phen57,11940,33731
AN,F5100,4,0.01,0.17,6201,30152,1552,7578,PGC-AN,AN,31308545,phen57,11940,33731
AN,F5100,5,0.01,0.17,6160,30157,1593,7573,PGC-AN,AN,31308545,phen57,11940,33731
ASD,F8101,1,0.01,0.33,14589,29931,3681,7586,PGC-ASD,ASD,30804558,phen56,5305,5305
ASD,F8101,2,0.01,0.33,14599,30116,3671,7401,PGC-ASD,ASD,30804558,phen56,5305,5305
ASD,F8101,3,0.01,0.33,14611,29979,3659,7538,PGC-ASD,ASD,30804558,phen56,5305,5305
ASD,F8101,4,0.01,0.33,14579,30040,3691,7477,PGC-ASD,ASD,30804558,phen56,5305,5305
ASD,F8101,5,0.01,0.33,14702,30002,3568,7515,PGC-ASD,ASD,30804558,phen56,5305,5305
BD,F3100,1,0.01,0.07,2370,30336,585,7658,PGC3-BD,BD PGC3,BD PUBMID,phen59,40488,345238
BD,F3100,2,0.01,0.07,2315,30295,640,7699,PGC3-BD,BD PGC3,BD PUBMID,phen59,40488,345238
BD,F3100,3,0.01,0.07,2385,30342,570,7652,PGC3-BD,BD PGC3,BD PUBMID,phen59,40488,345238
BD,F3100,4,0.01,0.07,2368,30481,587,7513,PGC3-BD,BD PGC3,BD PUBMID,phen59,40488,345238
BD,F3100,5,0.01,0.07,2382,30522,573,7472,PGC3-BD,BD PGC3,BD PUBMID,phen59,40488,345238
SCZ,F2100,1,0.01,0.14,4754,30295,1116,7586,PGC3-SCZ,SCZ PGC3,SCZ PUBMID,phen58,64689,67738
SCZ,F2100,2,0.01,0.13,4692,30269,1178,7612,PGC3-SCZ,SCZ PGC3,SCZ PUBMID,phen58,64689,67738
SCZ,F2100,3,0.01,0.13,4637,30280,1233,7601,PGC3-SCZ,SCZ PGC3,SCZ PUBMID,phen58,64689,67738
SCZ,F2100,4,0.01,0.14,4735,30291,1135,7590,PGC3-SCZ,SCZ PGC3,SCZ PUBMID,phen58,64689,67738
SCZ,F2100,5,0.01,0.13,4662,30389,1208,7492,PGC3-SCZ,SCZ PGC3,SCZ PUBMID,phen58,64689,67738
