tag,p,risk_score,quintile,logOR_mean,logOR_2.5%,logOR_97.5%
SCZ,F2100,MultiPGS_lasso,Q1,-3.43,-3.81,-2.99
SCZ,F2100,MultiPGS_lasso,Q2,-1.24,-1.48,-1
SCZ,F2100,MultiPGS_lasso,Q4,0.58,0.5,0.75
SCZ,F2100,MultiPGS_lasso,Q5,1.2,1.08,1.43
SCZ,F2100,MultiPGS_lasso,Q3,0,0,0
SCZ,F2100,MultiPGS_lassoPGS_xgboostCOV,Q1,-3.08,-3.84,-2.29
SCZ,F2100,MultiPGS_lassoPGS_xgboostCOV,Q2,-0.95,-1.49,-0.51
SCZ,F2100,MultiPGS_lassoPGS_xgboostCOV,Q4,0.47,0.35,0.65
SCZ,F2100,MultiPGS_lassoPGS_xgboostCOV,Q5,1,0.81,1.28
SCZ,F2100,MultiPGS_lassoPGS_xgboostCOV,Q3,0,0,0
SCZ,F2100,PGS_single_GWAS,Q1,-2.89,-3.11,-2.63
SCZ,F2100,PGS_single_GWAS,Q2,-0.83,-1.03,-0.7
SCZ,F2100,PGS_single_GWAS,Q4,0.25,0.1,0.39
SCZ,F2100,PGS_single_GWAS,Q5,0.47,0.37,0.63
SCZ,F2100,PGS_single_GWAS,Q3,0,0,0
SCZ,F2100,MultiPGS_xgboost,Q1,-2.27,-2.71,-1.94
SCZ,F2100,MultiPGS_xgboost,Q2,-0.57,-1.08,-0.36
SCZ,F2100,MultiPGS_xgboost,Q4,0.53,0.44,0.69
SCZ,F2100,MultiPGS_xgboost,Q5,0.97,0.8,1.13
SCZ,F2100,MultiPGS_xgboost,Q3,0,0,0
AFF,F3000,MultiPGS_lasso,Q1,-1.99,-2.15,-1.74
AFF,F3000,MultiPGS_lasso,Q2,-0.56,-0.71,-0.45
AFF,F3000,MultiPGS_lasso,Q4,0.33,0.28,0.43
AFF,F3000,MultiPGS_lasso,Q5,0.71,0.64,0.87
AFF,F3000,MultiPGS_lasso,Q3,0,0,0
AFF,F3000,MultiPGS_lassoPGS_xgboostCOV,Q1,-2.02,-2.08,-1.92
AFF,F3000,MultiPGS_lassoPGS_xgboostCOV,Q2,-0.47,-0.52,-0.42
AFF,F3000,MultiPGS_lassoPGS_xgboostCOV,Q4,0.41,0.36,0.49
AFF,F3000,MultiPGS_lassoPGS_xgboostCOV,Q5,0.87,0.77,1.01
AFF,F3000,MultiPGS_lassoPGS_xgboostCOV,Q3,0,0,0
AFF,F3000,PGS_single_GWAS,Q1,-1.68,-1.91,-1.44
AFF,F3000,PGS_single_GWAS,Q2,-0.47,-0.55,-0.43
AFF,F3000,PGS_single_GWAS,Q4,0.19,0.04,0.33
AFF,F3000,PGS_single_GWAS,Q5,0.38,0.23,0.52
AFF,F3000,PGS_single_GWAS,Q3,0,0,0
AFF,F3000,MultiPGS_xgboost,Q1,-1.77,-1.87,-1.69
AFF,F3000,MultiPGS_xgboost,Q2,-0.41,-0.52,-0.3
AFF,F3000,MultiPGS_xgboost,Q4,0.29,0.23,0.41
AFF,F3000,MultiPGS_xgboost,Q5,0.72,0.66,0.79
AFF,F3000,MultiPGS_xgboost,Q3,0,0,0
BD,F3100,MultiPGS_lasso,Q1,-4.1,-5.26,-3.39
BD,F3100,MultiPGS_lasso,Q2,-1.45,-1.73,-1.2
BD,F3100,MultiPGS_lasso,Q4,0.73,0.47,0.96
BD,F3100,MultiPGS_lasso,Q5,1.49,1.23,1.9
BD,F3100,MultiPGS_lasso,Q3,0,0,0
BD,F3100,MultiPGS_lassoPGS_xgboostCOV,Q1,-2.55,-2.98,-1.92
BD,F3100,MultiPGS_lassoPGS_xgboostCOV,Q2,-1.02,-1.24,-0.77
BD,F3100,MultiPGS_lassoPGS_xgboostCOV,Q4,0.57,0.29,0.71
BD,F3100,MultiPGS_lassoPGS_xgboostCOV,Q5,1.17,0.91,1.4
BD,F3100,MultiPGS_lassoPGS_xgboostCOV,Q3,0,0,0
BD,F3100,PGS_single_GWAS,Q1,-2.94,-4.04,-2.49
BD,F3100,PGS_single_GWAS,Q2,-1.16,-1.52,-0.87
BD,F3100,PGS_single_GWAS,Q4,0.51,0.35,0.89
BD,F3100,PGS_single_GWAS,Q5,1.04,0.82,1.44
BD,F3100,PGS_single_GWAS,Q3,0,0,0
BD,F3100,MultiPGS_xgboost,Q1,-2.22,-2.77,-1.84
BD,F3100,MultiPGS_xgboost,Q2,-0.81,-1.05,-0.63
BD,F3100,MultiPGS_xgboost,Q4,0.43,0.21,0.69
BD,F3100,MultiPGS_xgboost,Q5,1.03,0.89,1.18
BD,F3100,MultiPGS_xgboost,Q3,0,0,0
AN,F5100,MultiPGS_lasso,Q1,-0.74,-1.2,-0.29
AN,F5100,MultiPGS_lasso,Q2,-0.08,-0.57,0.34
AN,F5100,MultiPGS_lasso,Q4,1.01,0.91,1.13
AN,F5100,MultiPGS_lasso,Q5,1.54,1.39,1.66
AN,F5100,MultiPGS_lasso,Q3,0,0,0
AN,F5100,MultiPGS_lassoPGS_xgboostCOV,Q1,-1.57,-1.7,-1.43
AN,F5100,MultiPGS_lassoPGS_xgboostCOV,Q2,-1.11,-1.33,-0.97
AN,F5100,MultiPGS_lassoPGS_xgboostCOV,Q4,0.63,0.42,0.89
AN,F5100,MultiPGS_lassoPGS_xgboostCOV,Q5,1.19,1.01,1.41
