tag,p,PGS,quintile,logOR_mean,logOR_2.5%,logOR_97.5%
SCZ,F2100,PGS_BLUP,Q1,-0.32,-0.47,-0.17
SCZ,F2100,PGS_BLUP,Q2,-0.02,-0.14,0.11
SCZ,F2100,PGS_BLUP,Q4,0.2,0.05,0.37
SCZ,F2100,PGS_BLUP,Q5,0.38,0.3,0.45
SCZ,F2100,PGS_BLUP,Q3,0,0,0
SCZ,F2100,MultiPGS_lasso_including_single_GWAS,Q1,-0.88,-1.11,-0.7
SCZ,F2100,MultiPGS_lasso_including_single_GWAS,Q2,-0.32,-0.47,-0.15
SCZ,F2100,MultiPGS_lasso_including_single_GWAS,Q4,0.29,0.1,0.5
SCZ,F2100,MultiPGS_lasso_including_single_GWAS,Q5,0.84,0.79,0.92
SCZ,F2100,MultiPGS_lasso_including_single_GWAS,Q3,0,0,0
SCZ,F2100,MultiPGS_lasso_excluding_single_GWAS,Q1,-0.84,-1.07,-0.48
SCZ,F2100,MultiPGS_lasso_excluding_single_GWAS,Q2,-0.34,-0.6,-0.01
SCZ,F2100,MultiPGS_lasso_excluding_single_GWAS,Q4,0.26,0,0.54
SCZ,F2100,MultiPGS_lasso_excluding_single_GWAS,Q5,0.8,0.61,1.02
SCZ,F2100,MultiPGS_lasso_excluding_single_GWAS,Q3,0,0,0
SCZ,F2100,PGS_single_GWAS,Q1,-0.31,-0.5,-0.19
SCZ,F2100,PGS_single_GWAS,Q2,-0.13,-0.24,0.03
SCZ,F2100,PGS_single_GWAS,Q4,0.17,0.06,0.24
SCZ,F2100,PGS_single_GWAS,Q5,0.57,0.48,0.72
SCZ,F2100,PGS_single_GWAS,Q3,0,0,0
AFF,F3000,PGS_BLUP,Q1,-0.33,-0.41,-0.28
AFF,F3000,PGS_BLUP,Q2,-0.13,-0.18,-0.05
AFF,F3000,PGS_BLUP,Q4,0.13,0.06,0.21
AFF,F3000,PGS_BLUP,Q5,0.29,0.16,0.4
AFF,F3000,PGS_BLUP,Q3,0,0,0
