First Author,id,PubMed ID,Publication date,Journal,Title,Trait(s),Reported trait,N,Ncase,Ncontrol,file,source,chr,pos,rsid,a1,a0,beta,or,beta_se,p,Nsnp,Nca,Nco,af,chi2,se,int_all,int_se_all,h2_ldsc_all,h2_ldsc_se_all,slope_qc,M_or,M_m,M_qc,M_ldpred,k,h2_est,p_est,int,int_se,h2,h2_se,status
Meddens SFW,phen1,32393786,11/05/2020,Mol Psychiatry,Genomic analysis of diet composition finds novel loci and associations with health and lifestyle,Diet behaviour,Relative sugar intake,235000,NA,NA,Diet_Sugar_GWAS_MA_SSGAC_2020_MolPsych.txt.gz,dropbox,2,3,1,4,5,9,NA,10,8,7,NA,NA,6,0.4970579444711329,beta,1.014152825009515,0.003995155403911618,0.04509222552721974,0.0029563529886726405,0.9885654684154086,11417548,1115102,1099078,1039923,30,0.041077629771245294,0.0071374455229370574,1.0034263308817812,0.007720198794661902,0.04404737292317541,0.0030623558102603034,Completed
Meddens SFW,phen2,32393786,NA,Mol Psychiatry,Genomic analysis of diet composition finds novel loci and associations with health and lifestyle,Diet behaviour,Relative protein intake,235000,NA,NA,Diet_Protein_GWAS_MA_SSGAC_2020_MolPsych.txt.gz,dropbox,2,3,1,4,5,9,NA,10,8,7,NA,NA,6,0.48448369841372485,beta,1.0010365231396043,0.003479516668909276,0.031120916458666693,0.0023459802283712214,0.9881023672311204,11417548,1115102,1099028,1039911,30,0.025394678812958628,0.004212124214376959,1.000839729748321,0.007782019632619234,0.02821195904224516,0.0025641787933333377,Completed
Meddens SFW,phen3,32393786,NA,Mol Psychiatry,Genomic analysis of diet composition finds novel loci and associations with health and lifestyle,Diet behaviour,Relative carbohydrate intake,235000,NA,NA,Diet_Carbohydrate_GWAS_MA_SSGAC_2020_MolPsych.txt.gz,dropbox,2,3,1,4,5,9,NA,10,8,7,NA,NA,6,0.4960651648436551,beta,1.0130841008046891,0.0037542623102150945,0.04335940349790463,0.0027255097110457007,0.9881401927934577,11417548,1115102,1099026,1039907,30,0.04010703465067783,0.007920873518357196,1.0049790694311767,0.008362297758499412,0.042678734809996156,0.002934469460685228,Completed
Karlsson Linner R,phen4,30643258,NA,Nat Genet,Genome-wide association analyses of risk tolerance and risky behaviors in over one million individuals identify hundreds of loci and shared genetic influences.,Risk-taking behaviour,General-risk-tolerance,466571,NA,NA,RISK_GWAS_MA_UKB+replication.txt,dropbox,2,3,1,4,5,7,NA,8,9,NA,NA,NA,6,0.5471945956089322,beta,1.0261966391194453,0.004583365592915497,0.05790711112962466,0.0022229783744885587,1.0001344935567034,11514381,1115155,1101050,1041767,30,0.051299390001258244,0.014367555522217332,1.0391300576523539,0.015383866829932112,0.05049138011680891,0.0026695769155692154,Completed
Karlsson Linner R,phen5,30643258,NA,Nat Genet,Genome-wide association analyses of risk tolerance and risky behaviors in over one million individuals identify hundreds of loci and shared genetic influences.,Risk-taking behaviour,Automobile speeding propensity,404291,NA,NA,AUTOMOBILE_SPEEDING_PROPENSITY_GWAS.txt,dropbox,2,3,1,4,5,7,NA,8,9,NA,NA,NA,6,0.5638227508661269,beta,1.0398578140974888,0.004870133327113814,0.0682126558857215,0.0027379491809275793,1.0013408958337486,11514463,1115158,1098977,1039843,30,0.06393692239210619,0.015401129720855496,1.0304604291607775,0.012052319591499645,0.06361354910329821,0.002941672752879964,Completed
Karlsson Linner R,phen6,30643258,NA,Nat Genet,Genome-wide association analyses of risk tolerance and risky behaviors in over one million individuals identify hundreds of loci and shared genetic influences.,Risk-taking behaviour,Drinks per week,414343,NA,NA,DRINKS_PER_WEEK_GWAS.txt,dropbox,2,3,1,4,5,7,NA,8,9,NA,NA,NA,6,0.5625,beta,1.0444093998523993,0.004830669275184413,0.07508379660648386,0.0034911133817928266,1.004197691626979,11514936,1115154,1098969,1039827,30,0.06916721306672272,0.013579545935696949,1.0360082272101705,0.015706602003566706,0.06935179206678947,0.0035078467016487233,Completed
Karlsson Linner R,phen7,30643258,NA,Nat Genet,Genome-wide association analyses of risk tolerance and risky behaviors in over one million individuals identify hundreds of loci and shared genetic influences.,Risk-taking behaviour,"Meta-analysis of ever smoker, which includes the UKB and the TAG Consortium GWAS",518633,NA,NA,EVER_SMOKER_GWAS_MA_UKB+TAG.txt,dropbox,2,3,1,4,5,7,NA,8,9,NA,NA,NA,6,0.6079958268648352,beta,1.061105829863406,0.005864898544419992,0.09345805864690679,0.0030460273074772192,1.0078874259044888,11514654,1115159,1095413,1036617,30,0.0918317584727234,0.020200464516433626,1.0644961184970514,0.021512482355230397,0.08756059988722774,0.003698622550743843,Completed
Karlsson Linner R,phen8,30643258,NA,Nat Genet,Genome-wide association analyses of risk tolerance and risky behaviors in over one million individuals identify hundreds of loci and shared genetic influences.,Risk-taking behaviour,Number of sexual partners,370711,NA,NA,NUMBER_SEXUAL_PARTNERS_GWAS.txt,dropbox,2,3,1,4,5,7,NA,8,9,NA,NA,NA,6,0.5856665561260638,beta,1.0529869603881514,0.00505751543872609,0.10761754391936285,0.0035078846768742747,1.0068635341458139,11515109,1115156,1098966,1039827,30,0.0978205123306323,0.0176650224010736,1.0454330708300643,0.018509873609482544,0.09768035736683749,0.004177888649902875,Completed
Karlsson Linner R,phen9,30643258,NA,Nat Genet,Genome-wide association analyses of risk tolerance and risky behaviors in over one million individuals identify hundreds of loci and shared genetic influences.,Risk-taking behaviour,First PC of the four risky behaviors,315894,NA,NA,RISK_PC1_GWAS.txt,dropbox,2,3,1,4,5,7,NA,8,9,NA,NA,NA,6,0.5822863905325444,beta,1.0525754142402195,0.005115163550623032,0.12216577929293376,0.0044443425023152905,1.012393661347724,11514862,1115155,1098982,1039844,30,0.11255575028055553,0.01692686517802751,1.051853630527474,0.016261620907842854,0.11120461086169052,0.004903822054283097,Completed
IOCDF-GC & OCGAS,phen10,28761083,NA,Mol Psychiatry,Revealing the complex genetic architecture of obsessive-compulsive disorder using meta-analysis,OCD,OCD,9725,2688,7037,ocd_aug2017.gz,dropbox,1,3,2,4,5,NA,7,8,9,NA,NA,NA,NA,0.47166336406288556,log_or,0.9839907405713043,0.0037630106490796123,0.5002269704090881,0.062290182052568685,2,7939284,1110009,1101213,1040286,19,0.3580666696725099,0.0033945158429577633,0.9886450234126796,0.007532464993608091,0.45970683709015847,0.06642122548126524,Completed
Lee JJ,phen11,30038396,NA,Nat Genet,Gene discovery and polygenic prediction from a 1.1-million-person GWAS of educational attainment.,Cognitive performance (CP),Cognitive performance (CP),257828,NA,NA,GWAS_CP_all.txt,dropbox,2,3,1,4,5,7,NA,8,9,NA,NA,NA,6,0.6389120273959926,beta,1.0515461709158418,0.08693625575065125,0.21940169221558356,0.04929827272184416,1.011980576753761,10098325,1108843,1094457,1033915,30,0.1947159527324548,0.01894575597527206,1.0375085107501902,0.01873502600130743,0.19915559217712295,0.0069808516664425346,Completed
Barban N,phen13,27798627,NA,Nat Genet,Genome-wide analysis identifies 12 loci influencing human reproductive behavior.,Age at first birth (AFB),Age at first birth (AFB),251151,NA,NA,AgeFirstBirth_Pooled.txt.zip,dropbox,2,3,1,4,5,NA,NA,NA,8,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Essential columns missing | Number of SNPs < 200k
Barban N,phen14,27798627,NA,Nat Genet,Genome-wide analysis identifies 12 loci influencing human reproductive behavior.,Number of children ever born (NEB),Number of children ever born (NEB),343072,NA,NA,NumberChildrenEverBorn_Pooled.txt.zip,dropbox,2,3,1,4,5,NA,NA,NA,8,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Essential columns missing | Number of SNPs < 200k
Pulit SL,phen15,30124842,NA,Hum Mol Genet,"Meta-analysis of genome-wide association studies for body fat distribution in 694,649 individuals of European ancestry.",BMI,Body mass index,806834,NA,NA,bmi.giant-ukbb.meta-analysis.combined.23May2018.txt.gz,dropbox,1,2,3,4,5,7,NA,8,9,10,NA,NA,6,0.6218051970734925,beta,1.2362010983443417,0.01058541979663647,0.24923434381684095,0.007378648102504107,0.995185986935766,27380252,1118364,1101409,1039077,30,0.22908859020235792,0.0352202454117853,1.2168647674501347,0.038150302778448324,0.20265573739250334,0.007201857068421271,Completed
Pulit SL,phen16,30124842,NA,Hum Mol Genet,"Meta-analysis of genome-wide association studies for body fat distribution in 694,649 individuals of European ancestry.",WHR,Waist-hip ratio,697734,NA,NA,whr.giant-ukbb.meta-analysis.combined.23May2018.txt.gz,dropbox,1,2,3,4,5,7,NA,8,9,10,NA,NA,6,0.5844849115504682,beta,1.1647155874592579,0.008192992691883371,0.16502389129431852,0.005258882491487467,0.9779349974736786,27375541,1118365,1104410,1041715,30,0.1594700806223953,0.02621371905649518,1.17776404298346,0.03094690175658465,0.1391643784599076,0.0049301947620739766,Completed
Yengo L,phen17,30124842,NA,Hum Mol Genet,Meta-analysis of genome-wide association studies for height and body mass index in ∼700000 individuals of European ancestry,BMI,Body mass index,700000,NA,NA,Meta-analysis_Locke_et_al+UKBiobank_2018_UPDATED.txt.gz,dropbox,1,2,3,4,5,7,NA,8,9,10,NA,NA,6,1.2491349480968859,beta,1.3372614580529494,0.011409405261275225,0.2525650627057345,0.003523405996538098,0.9972177183921904,2336269,956579,949294,900630,30,0.21755954207220607,0.03412044291588691,1.2729001983993031,0.04947640195744454,0.17641413542771334,0.0059947580133621605,Completed
Yengo L,phen18,30124843,NA,Hum Mol Genet,Meta-analysis of genome-wide association studies for height and body mass index in ∼700000 individuals of European ancestry,Height,Height,700000,NA,NA,Meta-analysis_Wood_et_al+UKBiobank_2018.txt.gz,dropbox,1,2,3,4,5,7,NA,8,9,10,NA,NA,6,1.6044444444444443,beta,2.051180801512048,0.02010670742339381,0.6223897531929555,0.010644384923345535,0.8410310251932654,2334001,955552,948226,899654,30,0.6291058226982285,0.03368496165299556,1.9956826811180535,0.07228472594014498,0.4330764783186887,0.021348189271044562,Completed
Jansen IE,phen19,30617256,NA,Nat Genet,Genome-wide meta-analysis identifies new loci and functional pathways influencing Alzheimer's disease risk.,Alzheimer's disease,AD,455258,71880,383378,AD_sumstats_Jansenetal_2019sept.txt.gz,dropbox,2,3,6,4,5,13,NA,14,8,10,NA,NA,12,0.47564851547083553,beta,1.015431784646623,0.004984808808056911,0.01629031739623706,0.00532284935574247,0.9818172651387914,13309438,1118197,1097761,1036720,30,0.031793618672826984,4.8028166108354245e-4,1.010684830526563,0.01017194370332372,0.01620542997736898,0.003631762825222289,Completed
